,0
2021-07-02 11:45:00,-0.755158397
2021-07-02 12:00:00,-0.814194329
2021-07-02 12:15:00,-0.859585435
2021-07-02 12:30:00,-0.711451766
2021-07-02 12:45:00,-0.60770515
2021-07-02 13:00:00,-0.60249661
2021-07-02 13:15:00,-0.543055209
2021-07-02 13:30:00,-0.504003832
2021-07-02 13:45:00,-0.311387807
2021-07-02 14:00:00,-0.266793086
2021-07-02 14:15:00,-0.256176939
2021-07-02 14:30:00,-0.264237819
2021-07-02 14:45:00,-0.332353289
2021-07-02 15:00:00,-0.362139494
2021-07-02 15:15:00,-0.349317823
2021-07-02 15:30:00,-0.206196145
2021-07-02 15:45:00,-0.122464508
2021-07-02 16:00:00,-0.282186586
2021-07-02 16:15:00,-0.379485724
2021-07-02 16:30:00,-0.153322332
2021-07-02 16:45:00,-0.298826769
2021-07-02 17:00:00,-0.207267374
2021-07-02 17:15:00,-0.48097807
2021-07-02 17:30:00,-0.288487956
2021-07-02 17:45:00,-0.115387496
2021-07-02 18:00:00,0.011152464
2021-07-02 18:15:00,-0.324437099
2021-07-02 18:30:00,0.504601161
2021-07-02 18:45:00,0.582125772
2021-07-02 19:00:00,1.371580245
2021-07-02 19:15:00,1.894740735
2021-07-02 19:30:00,2.060637214
2021-07-02 19:45:00,1.879668624
2021-07-02 20:00:00,1.40565999
2021-07-02 20:15:00,1.641903901
2021-07-02 20:30:00,1.323600057
2021-07-02 20:45:00,1.449699824
2021-07-02 21:00:00,1.536455669
2021-07-02 21:15:00,1.476011014
2021-07-02 21:30:00,1.513270529
2021-07-02 21:45:00,1.127095965
2021-07-02 22:00:00,1.231549729
2021-07-02 22:15:00,1.139641374
2021-07-02 22:30:00,1.011223332
2021-07-02 22:45:00,0.856590716
2021-07-02 23:00:00,0.633151992
2021-07-02 23:15:00,0.687573697
2021-07-02 23:30:00,0.514283512
2021-07-02 23:45:00,0.351327182
2021-07-03 00:00:00,0.029002745
2021-07-03 00:15:00,-0.555478046
2021-07-03 00:30:00,-1.042403287
2021-07-03 00:45:00,-1.158417586
2021-07-03 01:00:00,-1.111355823
2021-07-03 01:15:00,-0.798128222
