Sample time,Discharge,Stage (m)
3/28/2020 4:46,2.69558543,-0.058151463
3/28/2020 5:01,2.761906644,-0.098001554
3/28/2020 5:16,2.736867909,-0.142273603
3/28/2020 5:31,3.15053766,-0.190691652
3/28/2020 5:46,2.973929509,-0.241244573
3/28/2020 6:01,2.793780045,-0.296520644
3/28/2020 6:16,2.814065413,-0.355018219
3/28/2020 6:31,2.327726187,-0.416914372
3/28/2020 6:46,2.276205715,-0.48184587
3/28/2020 7:01,2.295298615,-0.547443897
3/28/2020 7:16,2.151787694,-0.615148124
3/28/2020 7:31,2.108974532,-0.68571102
3/28/2020 7:46,1.979206217,-0.755746063
3/28/2020 8:01,1.674265607,-0.825667814
3/28/2020 8:16,1.725500393,-0.891960817
3/28/2020 8:31,1.53339856,-0.950085102
3/28/2020 8:46,1.330929064,-0.99784498
3/28/2020 9:01,1.059992662,-1.023993423
3/28/2020 9:16,0.712439492,-1.013753527
3/28/2020 9:31,0.401180039,-0.957471758
3/28/2020 9:46,0.192146116,-0.877114469
3/28/2020 10:01,0.022329839,-0.788922996
3/28/2020 10:16,-0.042992539,-0.706583083
3/28/2020 10:31,0.043241533,-0.642241729
3/28/2020 10:46,0.082204968,-0.59164742
3/28/2020 11:01,0.430265888,-0.550032279
3/28/2020 11:16,0.62067556,-0.513738102
3/28/2020 11:31,-0.153225724,-0.481039439
3/28/2020 11:46,0.672521392,-0.45079405
3/28/2020 12:01,-0.712306444,-0.419933113
3/28/2020 12:16,0.270009717,-0.389131853
3/28/2020 12:31,1.009514605,-0.357419647
3/28/2020 12:46,-0.035455494,-0.32930419
3/28/2020 13:01,0.194770779,-0.303281758
3/28/2020 13:16,0.339416045,-0.277056094
3/28/2020 13:31,0.487901082,-0.254675746
3/28/2020 13:46,0.180436997,-0.230644276
3/28/2020 14:01,0.207740937,-0.208566676
3/28/2020 14:16,0.582965749,-0.193330562
3/28/2020 14:31,0.388797356,-0.174244104
3/28/2020 14:46,0.442988366,-0.160926445
3/28/2020 15:01,0.931636463,-0.151049044
3/28/2020 15:16,0.883875883,-0.145095526
3/28/2020 15:31,1.092112892,-0.140951684
3/28/2020 15:46,0.577028989,-0.141959642
3/28/2020 16:01,2.373250812,-0.161341677
3/28/2020 16:16,2.591428462,-0.197073526
3/28/2020 16:31,2.249303754,-0.242454676
3/28/2020 16:46,1.550743487,-0.287561476
3/28/2020 17:01,2.251214911,-0.331135192
3/28/2020 17:16,2.178346796,-0.376901804
3/28/2020 17:31,2.02057568,-0.423101862
3/28/2020 17:46,2.007883666,-0.472096875
3/28/2020 18:01,1.833384313,-0.521555635
3/28/2020 18:16,1.944906641,-0.574125788
3/28/2020 18:31,1.747814104,-0.630094282
3/28/2020 18:46,1.848089136,-0.688491537
3/28/2020 19:01,1.63694027,-0.748730081
3/28/2020 19:16,1.590578822,-0.811206529
3/28/2020 19:31,1.455659127,-0.87357188
3/28/2020 19:46,1.408822465,-0.93523119
3/28/2020 20:01,1.304758915,-0.989563682
3/28/2020 20:16,1.192081443,-1.035149611
3/28/2020 20:31,0.919505632,-1.063440451
3/28/2020 20:46,0.73895547,-1.068872051
3/28/2020 21:01,0.371925914,-1.027152676
3/28/2020 21:16,-0.007529278,-0.945369697
3/28/2020 21:31,-0.229452931,-0.845658716
3/28/2020 21:46,-0.346652561,-0.7529459
3/28/2020 22:01,-0.370079514,-0.680713952
3/28/2020 22:16,-0.280236016,-0.625724266
